timestamp,value1,value2,value3,value4,value5
17th October 2019,&#x1f61c,&#x1f911,&#x1f60d,&#x1f917,&#x1f60a

16th October 2019,&#x1f607,&#x1f608,&#x1f984,&#x1f415,&#x1f4af

15th October 2019,&#x1f61c,&#x1f60d,&#x1f607,&#x1f601,&#x1f60a

14th October 2019,&#x1f602,&#x1f914,&#x1f984,&#x1f54a,&#x1f420

13th October 2019,&#x1f913,&#x1f643,&#x1f914,&#x1f60d,&#x1f607

12th October 2019,&#x1f911,&#x1f609,&#x1f636,&#x1f601,&#x1f431

11th October 2019,&#x1f602,&#x1f431,&#x1f405,&#x1f401,&#x1f609

10th October 2019,&#x1f917,&#x1f60d,&#x1f61d,&#x1f642,&#x1f616

9th October 2019,&#x1f60d,&#x1f618,&#x1f60a,&#x1f61c,&#x1f61d

8th October 2019,&#x1f60d,&#x1f917,u2764,&#x1f911,&#x1f64f

7th October 2019,&#x1f602,&#x1f618,&#x1f47d,&#x1f525,&#x1f369

6th October 2019,&#x1f601,&#x1f643,&#x1f914,&#x1f60e,&#x1f618

5th October 2019,&#x1f917,&#x1f606,&#x1f607,&#x1f60d,&#x1f911

4th October 2019,&#x1f602,&#x1f618,&#x1f60e,&#x1f61c,&#x1f4a9

3rd October 2019,&#x1f984,&#x1f352,u2665,&#x1f98b,&#x1f988

2nd October 2019,&#x1f60d,&#x1f60e,&#x1f606,&#x1f913,&#x1f917

1st October 2019,&#x1f607,u2744,&#x1f917,&#x1f618,&#x1f91e

30th September 2019,&#x1f60d,&#x1f602,&#x1f917,&#x1f607,&#x1f436

29th September 2019,&#x1f60e,&#x1f609,&#x1f643,&#x1f60d,&#x1f61d

28th September 2019,&#x1f426,&#x1f607,&#x1f984,&#x1f480,&#x1f618

27th September 2019,&#x1f913,&#x1f60d,&#x1f917,&#x1f609,&#x1f61c

26th September 2019,&#x1f607,&#x1f911,&#x1f617,&#x1f608,&#x1f634

25th September 2019,&#x1f600,&#x1f60d,&#x1f421,&#x1f618,&#x1f619

24th September 2019,&#x1f409,&#x1f354,&#x1f984,&#x1f47d,&#x1f60e

23rd September 2019,&#x1f3f3&#x1f308,u2660,&#x1f60d,u2660,&#x1f3f3&#x1f308

22nd September 2019,u2666,&#x1f349,&#x1f333,&#x1f441,&#x1f4a9

21st September 2019,&#x1f61c,&#x1f914,&#x1f913,&#x1f911,&#x1f60e

20th September 2019,&#x1f60d,&#x1f608,&#x1f525,u2660,&#x1f480

19th September 2019,&#x1f609,&#x1f642,&#x1f913,&#x1f31e,&#x1f434

18th September 2019,&#x1f911,&#x1f60e,&#x1f603,&#x1f604,&#x1f606

17th September 2019,&#x1f60a,&#x1f437,&#x1f984,&#x1f429,&#x1f416

16th September 2019,&#x1f917,&#x1f61c,&#x1f60d,&#x1f3f3&#x1f308,&#x1f98b

15th September 2019,&#x1f363,u270b,&#x1f459,u2728,&#x1f3bf

14th September 2019,&#x1f98a,&#x1f389,&#x1f631,&#x1f64f,&#x1f601

13th September 2019,&#x1f60d,&#x1f607,&#x1f60e,&#x1f61c,&#x1f643

12th September 2019,&#x1f917,&#x1f60d,&#x1f618,&#x1f984,&#x1f602

11th September 2019,&#x1f47d,&#x1f4a9,&#x1f60a,&#x1f60d,&#x1f984

10th September 2019,&#x1f60d,u2764,&#x1f98b,&#x1f412,&#x1f4a9

9th September 2019,&#x1f60d,&#x1f61d,&#x1f602,&#x1f340,&#x1f31c

8th September 2019,&#x1f913,&#x1f4a9,&#x1f427,u2600,&#x1f495

7th September 2019,&#x1f60d,u2764,&#x1f4a9,&#x1f61a,&#x1f48e

6th September 2019,&#x1f913,&#x1f914,&#x1f61c,&#x1f601,&#x1f643

5th September 2019,&#x1f600,&#x1f607,&#x1f618,&#x1f602,&#x1f604

4th September 2019,&#x1f47b,&#x1f438,&#x1f439,&#x1f412,&#x1f428

3rd September 2019,&#x1f914,&#x1f4a9,&#x1f426,&#x1f41b,&#x1f33b

2nd September 2019,&#x1f60a,&#x1f609,&#x1f619,&#x1f643,&#x1f604

1st September 2019,&#x1f495,&#x1f351,&#x1f354,&#x1f355,&#x1f48e

31st August 2019,&#x1f60d,&#x1f618,&#x1f60b,&#x1f61c,&#x1f595

30th August 2019,&#x1f984,&#x1f308,&#x1f60e,&#x1f607,&#x1f608

29th August 2019,&#x1f917,&#x1f60a,&#x1f618,&#x1f60d,&#x1f911

28th August 2019,&#x1f60a,&#x1f61c,&#x1f618,&#x1f436,&#x1f427

27th August 2019,&#x1f917,&#x1f642,&#x1f60d,&#x1f914,&#x1f618

26th August 2019,&#x1f60a,&#x1f917,&#x1f61c,&#x1f609,&#x1f913

25th August 2019,&#x1f607,&#x1f425,&#x1f369,&#x1f415,&#x1f420

24th August 2019,&#x1f60d,&#x1f600,&#x1f618,&#x1f917,&#x1f602

23rd August 2019,&#x1f60a,&#x1f98b,&#x1f353,&#x1f4a9,u2764

22nd August 2019,&#x1f60e,&#x1f4a9,&#x1f436,&#x1f418,&#x1f404

21st August 2019,&#x1f600,&#x1f643,&#x1f60a,&#x1f636,&#x1f917

20th August 2019,&#x1f602,&#x1f603,&#x1f643,&#x1f60d,&#x1f61c

19th August 2019,&#x1f602,&#x1f61c,&#x1f61d,&#x1f607,&#x1f60d

18th August 2019,&#x1f643,&#x1f4af,&#x1f917,&#x1f60d,&#x1f619

17th August 2019,&#x1f431,&#x1f427,&#x1f64f,&#x1f911,&#x1f469

16th August 2019,&#x1f618,&#x1f917,&#x1f643,&#x1f606,&#x1f606

15th August 2019,&#x1f607,&#x1f60a,&#x1f60e,&#x1f917,&#x1f913

14th August 2019,&#x1f607,&#x1f911,&#x1f601,&#x1f60d,&#x1f917

13th August 2019,&#x1f911,&#x1f913,&#x1f642,&#x1f609,&#x1f60b

12th August 2019,&#x1f61c,&#x1f618,&#x1f60e,&#x1f911,&#x1f917

11th August 2019,&#x1f427,&#x1f431,&#x1f61b,&#x1f600,&#x1f425

10th August 2019,&#x1f600,&#x1f603,&#x1f618,&#x1f60a,&#x1f642

9th August 2019,&#x1f373,&#x1f31a,&#x1f335,&#x1f62c,&#x1f422

8th August 2019,&#x1f60d,&#x1f61c,&#x1f602,&#x1f917,&#x1f60b

7th August 2019,&#x1f914,&#x1f525,u2665,u2744,&#x1f418

6th August 2019,&#x1f600,&#x1f60d,&#x1f917,&#x1f914,&#x1f606

5th August 2019,&#x1f911,&#x1f60d,&#x1f913,&#x1f60e,&#x1f602

4th August 2019,&#x1f911,&#x1f60d,&#x1f607,&#x1f61d,&#x1f600

3rd August 2019,&#x1f607,&#x1f60d,&#x1f608,&#x1f480,&#x1f60a

2nd August 2019,&#x1f60e,&#x1f61c,&#x1f914,&#x1f60d,&#x1f607

1st August 2019,&#x1f913,&#x1f60e,&#x1f917,&#x1f607,&#x1f602

31st July 2019,&#x1f60e,&#x1f60d,&#x1f60b,&#x1f607,&#x1f600

30th July 2019,&#x1f911,&#x1f60d,&#x1f917,&#x1f436,&#x1f415

29th July 2019,&#x1f608,&#x1f60e,&#x1f624,&#x1f438,&#x1f409

28th July 2019,&#x1f917,&#x1f911,&#x1f984,&#x1f445,&#x1f624

27th July 2019,&#x1f60d,&#x1f618,&#x1f445,&#x1f498,&#x1f4af

26th July 2019,&#x1f98b,&#x1f354,&#x1f35f,&#x1f388,&#x1f405

25th July 2019,&#x1f61c,&#x1f60d,&#x1f61d,&#x1f60b,&#x1f602

24th July 2019,&#x1f600,&#x1f602,&#x1f618,&#x1f606,&#x1f642

23rd July 2019,&#x1f60d,&#x1f616,&#x1f419,&#x1f421,&#x1f3f3&#x1f308

22nd July 2019,&#x1f914,&#x1f616,&#x1f60a,&#x1f642,&#x1f60e

21st July 2019,&#x1f600,&#x1f618,&#x1f911,&#x1f917,&#x1f602

20th July 2019,&#x1f911,&#x1f619,&#x1f61c,&#x1f61d,&#x1f349

19th July 2019,&#x1f60e,&#x1f607,&#x1f60a,&#x1f60d,&#x1f425

18th July 2019,&#x1f91e,&#x1f37e,&#x1f3b7,&#x1f340,&#x1f389

17th July 2019,&#x1f623,&#x1f633,&#x1f616,&#x1f624,&#x1f631

16th July 2019,&#x1f4a9,&#x1f601,&#x1f642,&#x1f60e,&#x1f914

15th July 2019,&#x1f61b,&#x1f62c,&#x1f605,u263a,&#x1f91e

14th July 2019,&#x1f917,&#x1f914,&#x1f47b,&#x1f607,&#x1f419

13th July 2019,&#x1f618,&#x1f602,&#x1f34d,&#x1f60c,u2665

12th July 2019,&#x1f61c,&#x1f911,&#x1f917,&#x1f607,&#x1f606

11th July 2019,&#x1f917,&#x1f913,&#x1f984,&#x1f411,&#x1f4b0

10th July 2019,&#x1f600,&#x1f60a,&#x1f61c,&#x1f608,&#x1f438

9th July 2019,&#x1f434,&#x1f415,&#x1f344,&#x1f917,&#x1f450

8th July 2019,&#x1f60d,&#x1f60d,&#x1f911,&#x1f911,&#x1f60e

7th July 2019,&#x1f61c,&#x1f602,&#x1f60d,&#x1f60e,&#x1f4a9

6th July 2019,&#x1f602,&#x1f60d,&#x1f913,&#x1f643,&#x1f47b

5th July 2019,&#x1f602,&#x1f60e,&#x1f60d,&#x1f618,&#x1f4a9

4th July 2019,&#x1f602,&#x1f418,&#x1f60d,&#x1f984,&#x1f389

3rd July 2019,&#x1f60a,&#x1f643,&#x1f61c,&#x1f609,&#x1f60d

2nd July 2019,&#x1f602,&#x1f60d,&#x1f601,&#x1f600,&#x1f602

1st July 2019,&#x1f602,&#x1f607,&#x1f604,&#x1f60e,&#x1f60d

30th June 2019,&#x1f60d,&#x1f602,&#x1f617,&#x1f61c,&#x1f911

29th June 2019,&#x1f624,&#x1f917,&#x1f913,&#x1f61c,&#x1f911

28th June 2019,&#x1f618,&#x1f917,&#x1f911,&#x1f64f,&#x1f601

27th June 2019,&#x1f363,&#x1f984,&#x1f418,&#x1f344,&#x1f34d

26th June 2019,&#x1f377,&#x1f60e,&#x1f607,&#x1f439,&#x1f427

25th June 2019,&#x1f60d,&#x1f607,&#x1f618,&#x1f60b,&#x1f643

24th June 2019,&#x1f48e,&#x1f98a,&#x1f4af,&#x1f479,&#x1f480

23rd June 2019,&#x1f60a,&#x1f618,&#x1f61a,&#x1f942,&#x1f91e

22nd June 2019,&#x1f601,&#x1f64f,&#x1f60d,&#x1f602,&#x1f914

21st June 2019,&#x1f60d,&#x1f618,u2764,&#x1f493,u263a

20th June 2019,&#x1f913,&#x1f609,&#x1f642,&#x1f914,&#x1f607

19th June 2019,&#x1f60d,&#x1f635,&#x1f914,&#x1f624,&#x1f625

18th June 2019,&#x1f47b,&#x1f632,&#x1f915,&#x1f624,&#x1f434

17th June 2019,&#x1f60d,&#x1f60a,&#x1f917,&#x1f61c,&#x1f60a

16th June 2019,&#x1f984,&#x1f422,&#x1f60d,&#x1f602,&#x1f4a9

15th June 2019,&#x1f603,&#x1f618,&#x1f60a,&#x1f60d,&#x1f60b

14th June 2019,&#x1f911,&#x1f64f,u2744,&#x1f441,&#x1f600

13th June 2019,&#x1f596,&#x1f47d,&#x1f480,&#x1f47b,&#x1f420

12th June 2019,&#x1f60d,&#x1f609,u2764,&#x1f60e,&#x1f984

11th June 2019,&#x1f607,&#x1f618,&#x1f60e,&#x1f31e,&#x1f942

10th June 2019,&#x1f60d,&#x1f618,&#x1f911,&#x1f942,&#x1f495

9th June 2019,&#x1f601,&#x1f602,&#x1f604,&#x1f606,&#x1f60b

8th June 2019,&#x1f602,&#x1f609,&#x1f60e,&#x1f61c,&#x1f914

7th June 2019,&#x1f618,&#x1f984,&#x1f495,&#x1f942,&#x1f606

6th June 2019,&#x1f602,&#x1f609,&#x1f643,&#x1f914,&#x1f61d

5th June 2019,&#x1f911,&#x1f308,&#x1f98b,&#x1f4b7,&#x1f4b0

4th June 2019,&#x1f416,&#x1f355,&#x1f336,&#x1f369,&#x1f363

3rd June 2019,&#x1f431,&#x1f430,&#x1f389,&#x1f308,&#x1f60d

2nd June 2019,&#x1f602,&#x1f603,&#x1f60a,&#x1f618,&#x1f607

1st June 2019,&#x1f600,&#x1f917,&#x1f914,&#x1f47d,&#x1f47b

31st May 2019,&#x1f4b0,&#x1f60d,&#x1f911,&#x1f64f,&#x1f61c

30th May 2019,&#x1f602,&#x1f60d,&#x1f911,&#x1f60e,&#x1f617

29th May 2019,u2744,u2665,&#x1f308,&#x1f4b0,&#x1f333

28th May 2019,&#x1f415,&#x1f333,&#x1f31e,&#x1f60d,&#x1f917

27th May 2019,&#x1f60d,&#x1f60b,&#x1f913,&#x1f914,&#x1f60e

26th May 2019,&#x1f608,&#x1f438,&#x1f427,&#x1f913,&#x1f419

25th May 2019,&#x1f448,&#x1f446,&#x1f447,&#x1f450,&#x1f44a

24th May 2019,&#x1f60d,&#x1f618,&#x1f602,&#x1f61d,&#x1f4a9

23rd May 2019,&#x1f618,&#x1f642,&#x1f911,&#x1f600,&#x1f60d

22nd May 2019,&#x1f63a,&#x1f31c,&#x1f427,&#x1f608,&#x1f60d

21st May 2019,&#x1f600,&#x1f602,&#x1f61c,&#x1f911,&#x1f60e

20th May 2019,&#x1f61c,&#x1f602,&#x1f60d,&#x1f60e,&#x1f4a9

19th May 2019,&#x1f31f,&#x1f680,&#x1f410,&#x1f42c,u26f5

18th May 2019,&#x1f913,&#x1f60c,u2665,&#x1f4af,&#x1f605

17th May 2019,&#x1f640,&#x1f984,&#x1f608,&#x1f911,&#x1f4a9

16th May 2019,&#x1f600,&#x1f60b,&#x1f60d,&#x1f608,&#x1f984

15th May 2019,&#x1f911,&#x1f60e,&#x1f917,&#x1f914,&#x1f619

14th May 2019,&#x1f308,&#x1f98b,u2744,&#x1f409,&#x1f47b

13th May 2019,&#x1f618,&#x1f60d,&#x1f600,&#x1f61c,&#x1f914

12th May 2019,&#x1f60a,&#x1f60d,&#x1f917,&#x1f618,&#x1f98b

11th May 2019,&#x1f431,&#x1f4a4,&#x1f431,&#x1f4a4,&#x1f431

10th May 2019,&#x1f917,&#x1f602,&#x1f60e,&#x1f47b,&#x1f915

9th May 2019,&#x1f607,&#x1f64f,&#x1f984,&#x1f31e,&#x1f48e

8th May 2019,&#x1f911,&#x1f601,&#x1f618,&#x1f340,&#x1f31c

7th May 2019,&#x1f61a,&#x1f631,&#x1f911,&#x1f60e,&#x1f60d

6th May 2019,&#x1f911,&#x1f911,&#x1f911,&#x1f614,&#x1f615

5th May 2019,&#x1f64f,&#x1f450,&#x1f64f,&#x1f450,&#x1f64f

4th May 2019,&#x1f60d,&#x1f60a,&#x1f606,&#x1f60b,&#x1f61d

3rd May 2019,&#x1f601,&#x1f642,&#x1f617,&#x1f61c,&#x1f914

2nd May 2019,&#x1f617,&#x1f47d,&#x1f333,&#x1f354,&#x1f412

1st May 2019,&#x1f602,&#x1f60d,&#x1f64f,&#x1f61c,&#x1f431

30th April 2019,&#x1f917,&#x1f643,&#x1f630,&#x1f596,&#x1f984

29th April 2019,&#x1f355,&#x1f643,&#x1f913,&#x1f636,&#x1f43c

28th April 2019,&#x1f602,&#x1f606,&#x1f609,&#x1f911,&#x1f444

27th April 2019,&#x1f642,&#x1f600,&#x1f602,&#x1f911,&#x1f60d

26th April 2019,&#x1f984,&#x1f942,&#x1f91e,&#x1f64f,&#x1f911

25th April 2019,&#x1f619,&#x1f911,&#x1f913,&#x1f60e,&#x1f600

24th April 2019,&#x1f911,&#x1f607,&#x1f917,&#x1f61c,&#x1f643

23rd April 2019,&#x1f60d,&#x1f604,&#x1f60a,&#x1f642,&#x1f607

22nd April 2019,&#x1f61c,&#x1f617,&#x1f642,&#x1f601,&#x1f607

21st April 2019,&#x1f600,&#x1f602,&#x1f60d,&#x1f911,&#x1f913

20th April 2019,&#x1f601,&#x1f913,&#x1f609,&#x1f60d,&#x1f61c

19th April 2019,&#x1f60d,&#x1f61c,&#x1f602,&#x1f942,&#x1f605

